Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
1538,5,37,65,83,No Shipping Class Assigned,,,,,,,
1539,5,37,65,83,No Shipping Class Assigned,,,,,,,
1540,5,37,65,83,No Shipping Class Assigned,,,,,,,
1541,5,37,65,83,No Shipping Class Assigned,,,,,,,
1542,5,37,65,83,No Shipping Class Assigned,,,,,,,
1543,5,37,65,83,No Shipping Class Assigned,,,,,,,
1545,5,37,65,83,No Shipping Class Assigned,,,,,,,
1546,5,37,65,83,No Shipping Class Assigned,,,,,,,
1550,5,37,65,83,No Shipping Class Assigned,,,,,,,
1560,5,37,65,83,No Shipping Class Assigned,,,,,,,
1561,5,37,65,83,No Shipping Class Assigned,,,,,,,
1562,5,37,65,83,No Shipping Class Assigned,,,,,,,
1564,5,37,65,83,No Shipping Class Assigned,,,,,,,
1566,5,37,65,83,No Shipping Class Assigned,,,,,,,
1568,5,37,65,83,No Shipping Class Assigned,,,,,,,
1569,5,37,65,83,No Shipping Class Assigned,,,,,,,
1570,5,37,65,83,No Shipping Class Assigned,,,,,,,
1571,5,37,65,83,No Shipping Class Assigned,,,,,,,
1580,5,37,65,83,No Shipping Class Assigned,,,,,,,
1581,5,37,65,83,No Shipping Class Assigned,,,,,,,
1582,5,37,65,83,No Shipping Class Assigned,,,,,,,
1583,5,37,65,83,No Shipping Class Assigned,,,,,,,
1585,5,37,65,83,No Shipping Class Assigned,,,,,,,
1586,5,37,65,83,No Shipping Class Assigned,,,,,,,
1587,5,37,65,83,No Shipping Class Assigned,,,,,,,
1588,5,37,65,83,No Shipping Class Assigned,,,,,,,
1590,5,37,65,83,No Shipping Class Assigned,,,,,,,
1601,5,37,65,83,No Shipping Class Assigned,,,,,,,
1602,5,37,65,83,No Shipping Class Assigned,,,,,,,
1603,5,37,65,83,No Shipping Class Assigned,,,,,,,
1604,5,37,65,83,No Shipping Class Assigned,,,,,,,
1605,5,37,65,83,No Shipping Class Assigned,,,,,,,
1606,5,37,65,83,No Shipping Class Assigned,,,,,,,
1607,5,37,65,83,No Shipping Class Assigned,,,,,,,
1608,5,37,65,83,No Shipping Class Assigned,,,,,,,
1609,5,37,65,83,No Shipping Class Assigned,,,,,,,
1610,5,37,65,83,No Shipping Class Assigned,,,,,,,
1611,5,37,65,83,No Shipping Class Assigned,,,,,,,
1612,5,37,65,83,No Shipping Class Assigned,,,,,,,
1613,5,37,65,83,No Shipping Class Assigned,,,,,,,
1614,5,37,65,83,No Shipping Class Assigned,,,,,,,
1615,5,37,65,83,No Shipping Class Assigned,,,,,,,
1653,5,37,65,83,No Shipping Class Assigned,,,,,,,
1654,5,37,65,83,No Shipping Class Assigned,,,,,,,
1655,5,37,65,83,No Shipping Class Assigned,,,,,,,
1701,5,37,65,83,No Shipping Class Assigned,,,,,,,
1702,5,37,65,83,No Shipping Class Assigned,,,,,,,
1703,5,37,65,83,No Shipping Class Assigned,,,,,,,
1704,5,37,65,83,No Shipping Class Assigned,,,,,,,
1705,5,37,65,83,No Shipping Class Assigned,,,,,,,
1718,5,37,65,83,No Shipping Class Assigned,,,,,,,
1719,5,37,65,83,No Shipping Class Assigned,,,,,,,
1720,5,37,65,83,No Shipping Class Assigned,,,,,,,
1721,5,37,65,83,No Shipping Class Assigned,,,,,,,
1730,5,37,65,83,No Shipping Class Assigned,,,,,,,
1731,5,37,65,83,No Shipping Class Assigned,,,,,,,
1740,5,37,65,83,No Shipping Class Assigned,,,,,,,
1741,5,37,65,83,No Shipping Class Assigned,,,,,,,
1742,5,37,65,83,No Shipping Class Assigned,,,,,,,
1745,5,37,65,83,No Shipping Class Assigned,,,,,,,
1746,5,37,65,83,No Shipping Class Assigned,,,,,,,
1747,5,37,65,83,No Shipping Class Assigned,,,,,,,
1748,5,37,65,83,No Shipping Class Assigned,,,,,,,
1749,5,37,65,83,No Shipping Class Assigned,,,,,,,
1752,5,37,65,83,No Shipping Class Assigned,,,,,,,
1754,5,37,65,83,No Shipping Class Assigned,,,,,,,
1756,5,37,65,83,No Shipping Class Assigned,,,,,,,
1757,5,37,65,83,No Shipping Class Assigned,,,,,,,
1760,5,37,65,83,No Shipping Class Assigned,,,,,,,
1770,5,37,65,83,No Shipping Class Assigned,,,,,,,
1772,5,37,65,83,No Shipping Class Assigned,,,,,,,
1773,5,37,65,83,No Shipping Class Assigned,,,,,,,
