ZipCode,ZoneName,Small,Medium,Large,ShippingClass
2222,5,37,65,83,Fed Ex Overnight
2228,5,37,65,83,Fed Ex Overnight
2238,5,37,65,83,Fed Ex Overnight
2239,5,37,65,83,Fed Ex Overnight
2241,5,37,65,83,Fed Ex Overnight
2254,5,37,65,83,Fed Ex Overnight
2258,5,37,65,83,Fed Ex Overnight
2266,5,37,65,83,Fed Ex Overnight
2269,5,37,65,83,Fed Ex Overnight
2272,5,37,65,83,Fed Ex Overnight
2277,5,37,65,83,Fed Ex Overnight
2283,5,37,65,83,Fed Ex Overnight
2284,5,37,65,83,Fed Ex Overnight
2293,5,37,65,83,Fed Ex Overnight
2295,5,37,65,83,Fed Ex Overnight
2297,5,37,65,83,Fed Ex Overnight
2298,5,37,65,83,Fed Ex Overnight
2301,5,37,65,83,Fed Ex Overnight
2302,5,37,65,83,Fed Ex Overnight
2303,5,37,65,83,Fed Ex Overnight
2304,5,37,65,83,Fed Ex Overnight
2305,5,37,65,83,Fed Ex Overnight
2322,5,37,65,83,Fed Ex Overnight
2324,5,37,65,83,Fed Ex Overnight
2325,5,37,65,83,Fed Ex Overnight
2327,5,37,65,83,Fed Ex Overnight
2330,5,37,65,83,Fed Ex Overnight
2331,5,37,65,83,Fed Ex Overnight
2332,5,37,65,83,Fed Ex Overnight
2333,5,37,65,83,Fed Ex Overnight
2334,5,37,65,83,Fed Ex Overnight
2337,5,37,65,83,Fed Ex Overnight
2338,5,37,65,83,Fed Ex Overnight
2339,5,37,65,83,Fed Ex Overnight
2340,5,37,65,83,Fed Ex Overnight
2341,5,37,65,83,Fed Ex Overnight
2343,5,37,65,83,Fed Ex Overnight
2344,5,37,65,83,Fed Ex Overnight
2345,5,37,65,83,Fed Ex Overnight
2346,5,37,65,83,Fed Ex Overnight
2347,5,37,65,83,Fed Ex Overnight
2348,5,37,65,83,Fed Ex Overnight
2349,5,37,65,83,Fed Ex Overnight
2350,5,37,65,83,Fed Ex Overnight
2351,5,37,65,83,Fed Ex Overnight
2355,5,37,65,83,Fed Ex Overnight
2356,5,37,65,83,Fed Ex Overnight
2357,5,37,65,83,Fed Ex Overnight
2358,5,37,65,83,Fed Ex Overnight
2359,5,37,65,83,Fed Ex Overnight
2360,5,37,65,83,Fed Ex Overnight
2361,5,37,65,83,Fed Ex Overnight
2362,5,37,65,83,Fed Ex Overnight
2363,5,37,65,83,Fed Ex Overnight
2364,5,37,65,83,Fed Ex Overnight
2366,5,37,65,83,Fed Ex Overnight
2367,5,37,65,83,Fed Ex Overnight
2368,5,37,65,83,Fed Ex Overnight
2370,5,37,65,83,Fed Ex Overnight
2375,5,37,65,83,Fed Ex Overnight
2379,5,37,65,83,Fed Ex Overnight
2381,5,37,65,83,Fed Ex Overnight
2382,5,37,65,83,Fed Ex Overnight
2401,4,25,40,60,Fedx Express Zone
2402,4,25,40,60,Fedx Express Zone
2403,4,25,40,60,Fedx Express Zone
2404,4,25,40,60,Fedx Express Zone
2405,4,25,40,60,Fedx Express Zone
2411,4,25,40,60,Fedx Express Zone
2420,4,25,40,60,Fedx Express Zone
2421,4,25,40,60,Fedx Express Zone
2445,5,37,65,83,Fed Ex Overnight
2446,5,37,65,83,Fed Ex Overnight
2447,5,37,65,83,Fed Ex Overnight
2451,4,25,40,60,Fedx Express Zone
2452,4,25,40,60,Fedx Express Zone
2453,4,25,40,60,Fedx Express Zone
2454,4,25,40,60,Fedx Express Zone
2455,4,25,40,60,Fedx Express Zone
2456,4,25,40,60,Fedx Express Zone
2457,4,25,40,60,Fedx Express Zone
2458,4,25,40,60,Fedx Express Zone
2459,4,25,40,60,Fedx Express Zone
2460,4,25,40,60,Fedx Express Zone
2461,4,25,40,60,Fedx Express Zone
2462,4,25,40,60,Fedx Express Zone
