"Zipcode","ZoneName","Small","Medium","Large","ShippingClass"
"2157","5","37","65","83",""
"2158","5","37","65","83",""
"2159","5","37","65","83",""
"2160","5","37","65","83",""
"2161","5","37","65","83",""
"2162","5","37","65","83",""
"2163","5","37","65","83",""
"2164","5","37","65","83",""
"2165","5","37","65","83",""
"2166","5","37","65","83",""
"2167","5","37","65","83",""
"2168","5","37","65","83",""
"2169","5","37","65","83",""
"2170","5","37","65","83",""
"2171","5","37","65","83",""
"2172","5","37","65","83",""
"2173","5","37","65","83",""
"2174","5","37","65","83",""
"2175","5","37","65","83",""
"2176","5","37","65","83",""
"2177","5","37","65","83",""
"2178","5","37","65","83",""
"2179","5","37","65","83",""
"2180","5","37","65","83",""
"2181","5","37","65","83",""
"2184","5","37","65","83",""
"2185","5","37","65","83",""
"2186","5","37","65","83",""
"2187","5","37","65","83",""
"2188","5","37","65","83",""
"2189","5","37","65","83",""
"2190","5","37","65","83",""
"2191","5","37","65","83",""
"2192","5","37","65","83",""
"2193","5","37","65","83",""
"2194","5","37","65","83",""
"2195","5","37","65","83",""
"2196","5","37","65","83",""
"2199","5","37","65","83",""
"2201","5","37","65","83",""
"2202","5","37","65","83",""
"2203","5","37","65","83",""
"2204","5","37","65","83",""
"2205","5","37","65","83",""
"2206","5","37","65","83",""
"2207","5","37","65","83",""
"2208","5","37","65","83",""
"2209","5","37","65","83",""
"2210","5","37","65","83",""
"2211","5","37","65","83",""
"2212","5","37","65","83",""
"2215","5","37","65","83",""
"2216","5","37","65","83",""
"2217","5","37","65","83",""
"2222","5","37","65","83",""
"2228","5","37","65","83",""
"2238","5","37","65","83",""
"2239","5","37","65","83",""
"2241","5","37","65","83",""
"2254","5","37","65","83",""
"2258","5","37","65","83",""
"2266","5","37","65","83",""
"2269","5","37","65","83",""
"2272","5","37","65","83",""
"2277","5","37","65","83",""
"2283","5","37","65","83",""
"2284","5","37","65","83",""
"2293","5","37","65","83",""
"2295","5","37","65","83",""
"2297","5","37","65","83",""
"2298","5","37","65","83",""
"2301","5","37","65","83",""
"2302","5","37","65","83",""
"2303","5","37","65","83",""
"2304","5","37","65","83",""
"2305","5","37","65","83",""
"2322","5","37","65","83",""
"2324","5","37","65","83",""
"2325","5","37","65","83",""
"2327","5","37","65","83",""
"2330","5","37","65","83",""
"2331","5","37","65","83",""
"2332","5","37","65","83",""
"2333","5","37","65","83",""
"2334","5","37","65","83",""
"2337","5","37","65","83",""
"2338","5","37","65","83",""
"2339","5","37","65","83",""
"2340","5","37","65","83",""
"2341","5","37","65","83",""
"2343","5","37","65","83",""
"2344","5","37","65","83",""
"2345","5","37","65","83",""
"2346","5","37","65","83",""
"2347","5","37","65","83",""
"2348","5","37","65","83",""
"2349","5","37","65","83",""
"2350","5","37","65","83",""
"2351","5","37","65","83",""
"2355","5","37","65","83",""
"2356","5","37","65","83",""
"2357","5","37","65","83",""
"2358","5","37","65","83",""
"2359","5","37","65","83",""
"2360","5","37","65","83",""
"2361","5","37","65","83",""
"2362","5","37","65","83",""
"2363","5","37","65","83",""
"2364","5","37","65","83",""
"2366","5","37","65","83",""
"2367","5","37","65","83",""
"2368","5","37","65","83",""
"2370","5","37","65","83",""
"2375","5","37","65","83",""
"2379","5","37","65","83",""
"2381","5","37","65","83",""
"2382","5","37","65","83",""
"2401","4","35","56","75",""
"2402","4","35","56","75",""
"2403","4","35","56","75",""
"2404","4","35","56","75",""
"2405","4","35","56","75",""
"2411","4","35","56","75",""
"2420","4","35","56","75",""
"2421","4","35","56","75",""
"2445","5","37","65","83",""
"2446","5","37","65","83",""
"2447","5","37","65","83",""
"2451","4","35","56","75",""
"2452","4","35","56","75",""
"2453","4","35","56","75",""
"2454","4","35","56","75",""
"2455","4","35","56","75",""
"2456","4","35","56","75",""
"2457","4","35","56","75",""
"2458","4","35","56","75",""
"2459","4","35","56","75",""
"2460","4","35","56","75",""
"2461","4","35","56","75",""
"2462","4","35","56","75",""
"2464","4","35","56","75",""
"2465","4","35","56","75",""
"2466","4","35","56","75",""
"2467","4","35","56","75",""
"2468","4","35","56","75",""
"2471","4","35","56","75",""
"2472","4","35","56","75",""
"2474","4","35","56","75",""
"2475","4","35","56","75",""
"2476","4","35","56","75",""
"2477","4","35","56","75",""
"2478","4","35","56","75",""
"2479","4","35","56","75",""
"2481","4","35","56","75",""
"2482","4","35","56","75",""
"2492","5","37","65","83",""
"2493","5","37","65","83",""
"2494","5","37","65","83",""
"2495","5","37","65","83",""
"2499","5","37","65","83",""
"2532","5","37","65","83",""
"2534","5","37","65","83",""
"2535","5","37","65","83",""
"2536","5","37","65","83",""
"2537","5","37","65","83",""
"2538","5","37","65","83",""
"2539","5","37","65","83",""
"2540","5","37","65","83",""
"2541","5","37","65","83",""
"2542","5","37","65","83",""
"2543","5","37","65","83",""
"2552","5","37","65","83",""
"2553","5","37","65","83",""
"2554","5","37","65","83",""
"2556","5","37","65","83",""
"2557","5","37","65","83",""
"2558","5","37","65","83",""
"2559","5","37","65","83",""
"2561","5","37","65","83",""
"2562","5","37","65","83",""
"2563","5","37","65","83",""
"2564","5","37","65","83",""
"2565","5","37","65","83",""
"2568","5","37","65","83",""
"2571","5","37","65","83",""
"2573","5","37","65","83",""
"2574","5","37","65","83",""
"2575","5","37","65","83",""
"2576","5","37","65","83",""
"2584","5","37","65","83",""
"2601","5","37","65","83",""
"2630","5","37","65","83",""
"2631","5","37","65","83",""
"2632","5","37","65","83",""
"2633","5","37","65","83",""
"2634","5","37","65","83",""
"2635","5","37","65","83",""
"2636","5","37","65","83",""
"2637","5","37","65","83",""
"2638","5","37","65","83",""
"2639","5","37","65","83",""
"2641","5","37","65","83",""
"2642","5","37","65","83",""
"2643","5","37","65","83",""
"2644","5","37","65","83",""
"2645","5","37","65","83",""
"2646","5","37","65","83",""
"2647","5","37","65","83",""
"2648","5","37","65","83",""
"2649","5","37","65","83",""
"2650","5","37","65","83",""
"2651","5","37","65","83",""
"2652","5","37","65","83",""
"2653","5","37","65","83",""
"2655","5","37","65","83",""
"2657","5","37","65","83",""
"2659","5","37","65","83",""
"2660","5","37","65","83",""
"2661","5","37","65","83",""
"2662","5","37","65","83",""
"2663","5","37","65","83",""
"2664","5","37","65","83",""
"2666","5","37","65","83",""
"2667","5","37","65","83",""
"2668","5","37","65","83",""
"2669","5","37","65","83",""
"2670","5","37","65","83",""
"2671","5","37","65","83",""
"2672","5","37","65","83",""
"2673","5","37","65","83",""
"2675","5","37","65","83",""
"2702","4","35","56","75",""
"2703","4","35","56","75",""
"2712","4","35","56","75",""
"2713","4","35","56","75",""
"2714","4","35","56","75",""
"2715","4","35","56","75",""
"2717","4","35","56","75",""
"2718","4","35","56","75",""
"2719","4","35","56","75",""
"2720","4","35","56","75",""
"2721","4","35","56","75",""
"2722","4","35","56","75",""
"2723","4","35","56","75",""
"2724","4","35","56","75",""
"2725","4","35","56","75",""
"2726","4","35","56","75",""
"2738","4","35","56","75",""
"2739","4","35","56","75",""
"2740","4","35","56","75",""
"2741","4","35","56","75",""
"2742","4","35","56","75",""
"2743","4","35","56","75",""
"2744","4","35","56","75",""
"2745","4","35","56","75",""
"2746","4","35","56","75",""
"2747","4","35","56","75",""
"2748","4","35","56","75",""
"2754","4","35","56","75",""
"2760","4","35","56","75",""
"2761","4","35","56","75",""
"2762","4","35","56","75",""
"2763","4","35","56","75",""
"2764","4","35","56","75",""
"2766","4","35","56","75",""
"2767","4","35","56","75",""
"2768","4","35","56","75",""
"2769","4","35","56","75",""
"2770","4","35","56","75",""
"2771","4","35","56","75",""
"2777","4","35","56","75",""
"2779","4","35","56","75",""
"2780","4","35","56","75",""
"2783","4","35","56","75",""
"2790","4","35","56","75",""
"2791","4","35","56","75",""
"2801","4","35","56","75",""
"2802","4","35","56","75",""
"2804","4","35","56","75",""
"2806","4","35","56","75",""
"2807","4","35","56","75",""
"2808","4","35","56","75",""
"2809","4","35","56","75",""
"2812","4","35","56","75",""
"2813","4","35","56","75",""
"2814","4","35","56","75",""
"2815","4","35","56","75",""
"2816","4","35","56","75",""
"2817","4","35","56","75",""
"2818","4","35","56","75",""
"2822","4","35","56","75",""
"2823","4","35","56","75",""
"2824","4","35","56","75",""
"2825","4","35","56","75",""
"2826","4","35","56","75",""
"2827","4","35","56","75",""
"2828","4","35","56","75",""
"2829","4","35","56","75",""
"2830","4","35","56","75",""
"2831","4","35","56","75",""
"2832","4","35","56","75",""
"2833","4","35","56","75",""
"2835","4","35","56","75",""
"2836","4","35","56","75",""
"2837","4","35","56","75",""
"2838","4","35","56","75",""
"2839","4","35","56","75",""
"2840","4","35","56","75",""
"2841","4","35","56","75",""
"2842","4","35","56","75",""
"2852","4","35","56","75",""
"2854","4","35","56","75",""
"2857","4","35","56","75",""
"2858","4","35","56","75",""
"2859","4","35","56","75",""
"2860","4","35","56","75",""
"2861","4","35","56","75",""
"2862","4","35","56","75",""
"2863","4","35","56","75",""
"2864","4","35","56","75",""
"2865","4","35","56","75",""
"2871","4","35","56","75",""
"2872","4","35","56","75",""
"2873","4","35","56","75",""
"2874","4","35","56","75",""
"2875","4","35","56","75",""
"2876","4","35","56","75",""
"2877","4","35","56","75",""
"2878","4","35","56","75",""
"2879","4","35","56","75",""
"2880","4","35","56","75",""
"2881","4","35","56","75",""
"2882","4","35","56","75",""
"2883","4","35","56","75",""
"2885","4","35","56","75",""
"2886","4","35","56","75",""
"2887","4","35","56","75",""
"2888","4","35","56","75",""
"2889","4","35","56","75",""
"2891","4","35","56","75",""
"2892","4","35","56","75",""
"2893","4","35","56","75",""
"2894","4","35","56","75",""
"2895","4","35","56","75",""
"2896","4","35","56","75",""
"2898","4","35","56","75",""
"2901","4","35","56","75",""
"2902","4","35","56","75",""
"2903","4","35","56","75",""
"2904","4","35","56","75",""
"2905","4","35","56","75",""
"2906","4","35","56","75",""
"2907","4","35","56","75",""
"2908","4","35","56","75",""
"2909","4","35","56","75",""
"2910","4","35","56","75",""
"2911","4","35","56","75",""
"2912","4","35","56","75",""
"2914","4","35","56","75",""
"2915","4","35","56","75",""
"2916","4","35","56","75",""
"2917","4","35","56","75",""
"2918","4","35","56","75",""
"2919","4","35","56","75",""
"2920","4","35","56","75",""
"2921","4","35","56","75",""
"2940","3","13","22","22",""
"3031","4","35","56","75",""
"3032","4","35","56","75",""
"3033","4","35","56","75",""
"3034","4","35","56","75",""
"3036","4","35","56","75",""
"3037","4","35","56","75",""
"3038","4","35","56","75",""
"3040","3","13","22","22",""
"3041","3","13","22","22",""
"3042","3","13","22","22",""
"3043","3","13","22","22",""
"3044","3","13","22","22",""
"3045","3","13","22","22",""
"3046","3","13","22","22",""
"3047","3","13","22","22",""
"3048","3","13","22","22",""
"3049","3","13","22","22",""
"3051","4","35","56","75",""
"3052","4","35","56","75",""
"3053","4","35","56","75",""
"3054","4","35","56","75",""
"3055","4","35","56","75",""
"3057","4","35","56","75",""
"3060","4","35","56","75",""
"3061","4","35","56","75",""
"3062","4","35","56","75",""
"3063","4","35","56","75",""
"3064","4","35","56","75",""
"3070","4","35","56","75",""
"3071","4","35","56","75",""
"3073","4","35","56","75",""
"3076","4","35","56","75",""
"3077","4","35","56","75",""
"3079","4","35","56","75",""
"3082","3","13","22","22",""
"3084","3","13","22","22",""
"3086","3","13","22","22",""
"3087","3","13","22","22",""
"3101","3","13","22","22",""
"3102","3","13","22","22",""
"3103","3","13","22","22",""
"3104","3","13","22","22",""
"3105","3","13","22","22",""
"3106","3","13","22","22",""
"3107","3","13","22","22",""
"3108","3","13","22","22",""
"3109","3","13","22","22",""
"3110","4","35","56","75",""
"3111","4","35","56","75",""
"3215","2","12","15","17",""
"3216","2","12","15","17",""
"3217","2","12","15","17",""
"3218","2","12","15","17",""
"3220","2","12","15","17",""
"3221","2","12","15","17",""
"3222","2","12","15","17",""
"3223","2","12","15","17",""
"3224","2","12","15","17",""
"3225","2","12","15","17",""
"3226","2","12","15","17",""
"3227","2","12","15","17",""
"3229","2","12","15","17",""
"3230","3","13","22","22",""
"3231","3","13","22","22",""
"3232","3","13","22","22",""
"3233","3","13","22","22",""
"3234","3","13","22","22",""
"3235","3","13","22","22",""
"3237","3","13","22","22",""
"3238","3","13","22","22",""
"3240","3","13","22","22",""
"3241","3","13","22","22",""
"3242","3","13","22","22",""
"3243","3","13","22","22",""
"3244","3","13","22","22",""
"3245","3","13","22","22",""
"3246","3","13","22","22",""
"3247","3","13","22","22",""
"3249","3","13","22","22",""
"3251","4","35","56","75",""
"3252","4","35","56","75",""
"3253","4","35","56","75",""
"3254","4","35","56","75",""
"3255","4","35","56","75",""
"3256","4","35","56","75",""
"3257","4","35","56","75",""
"3258","4","35","56","75",""
"3259","4","35","56","75",""
"3260","2","12","15","17",""
"3261","2","12","15","17",""
"3262","2","12","15","17",""
"3263","2","12","15","17",""
"3264","2","12","15","17",""
"3265","2","12","15","17",""
"3266","2","12","15","17",""
"3268","2","12","15","17",""
"3269","2","12","15","17",""
"3272","2","12","15","17",""
"3273","2","12","15","17",""
"3274","2","12","15","17",""
"3275","2","12","15","17",""
"3276","2","12","15","17",""
"3278","2","12","15","17",""
"3279","2","12","15","17",""
"3280","2","12","15","17",""
"3281","2","12","15","17",""
"3282","2","12","15","17",""
"3284","2","12","15","17",""
"3285","2","12","15","17",""
"3287","2","12","15","17",""
"3289","2","12","15","17",""
"3290","2","12","15","17",""
"3291","2","12","15","17",""
"3293","2","12","15","17",""
"3298","2","12","15","17",""
"3299","2","12","15","17",""
"3301","3","13","22","22",""
"3302","3","13","22","22",""
"3303","3","13","22","22",""
"3304","3","13","22","22",""
"3305","3","13","22","22",""
"3306","3","13","22","22",""
"3307","3","13","22","22",""
"3431","0","","","",""
"3435","0","","","",""
"3440","2","12","15","17",""
"3441","2","12","15","17",""
"3442","2","12","15","17",""
"3443","2","12","15","17",""
"3444","2","12","15","17",""
"3445","2","12","15","17",""
"3446","2","12","15","17",""
"3447","2","12","15","17",""
"3448","2","12","15","17",""
"3449","2","12","15","17",""
